Stack,Input,Action
$ CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM',CPAR OKEY IF OPAR IDENTIFIER OR IDENTIFIER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,TERM' -> ε
$ CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION',CPAR OKEY IF OPAR IDENTIFIER OR IDENTIFIER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,EXPRESSION' -> ε
$ CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR,CPAR OKEY IF OPAR IDENTIFIER OR IDENTIFIER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY,OKEY IF OPAR IDENTIFIER OR IDENTIFIER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS,IF OPAR IDENTIFIER OR IDENTIFIER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,STATEMENTS -> ε
$ CKEY ELSE' CKEY IFELSES LOOPS,IF OPAR IDENTIFIER OR IDENTIFIER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,LOOPS -> ε
$ CKEY ELSE' CKEY IFELSES,IF OPAR IDENTIFIER OR IDENTIFIER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,IFELSES -> IF OPAR EXPRESSION CPAR OKEY STATEMENTS LOOPS IFELSES CKEY ELSE'
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION OPAR IF,IF OPAR IDENTIFIER OR IDENTIFIER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION OPAR,OPAR IDENTIFIER OR IDENTIFIER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION,IDENTIFIER OR IDENTIFIER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,EXPRESSION -> TERM EXPRESSION'
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM,IDENTIFIER OR IDENTIFIER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,TERM -> FACTOR TERM'
