Stack,Input,Action
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,TERM -> FACTOR TERM'
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' FACTOR,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,FACTOR -> DVORID
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' DVORID,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,DVORID -> IDENTIFIER
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' IDENTIFIER,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM',CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,TERM' -> ε
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION',CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,EXPRESSION' -> ε
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR,CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA,DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS,CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,STATEMENTS -> ε
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS,CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,LOOPS -> ε
$ CKEY CKEY ELSE' CKEY IFELSES,CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,IFELSES -> ε
$ CKEY CKEY ELSE' CKEY,CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY CKEY ELSE',ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,ELSE' -> ELSE OKEY STATEMENTS LOOPS IFELSES CKEY
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS OKEY ELSE,ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS OKEY,OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS,PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,STATEMENTS -> PRINT OPAR EXPRESSION CPAR DOTCOMMA STATEMENTS
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION OPAR PRINT,PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION OPAR,OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION,IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,EXPRESSION -> TERM EXPRESSION'
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM,IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,TERM -> FACTOR TERM'
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' FACTOR,IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,FACTOR -> DVORID
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' DVORID,IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,DVORID -> IDENTIFIER
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' IDENTIFIER,IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM',CPAR DOTCOMMA CKEY CKEY CKEY $,TERM' -> ε
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION',CPAR DOTCOMMA CKEY CKEY CKEY $,EXPRESSION' -> ε
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR,CPAR DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA,DOTCOMMA CKEY CKEY CKEY $,Terminal
$ CKEY CKEY CKEY IFELSES LOOPS STATEMENTS,CKEY CKEY CKEY $,STATEMENTS -> ε
$ CKEY CKEY CKEY IFELSES LOOPS,CKEY CKEY CKEY $,LOOPS -> ε
$ CKEY CKEY CKEY IFELSES,CKEY CKEY CKEY $,IFELSES -> ε
$ CKEY CKEY CKEY,CKEY CKEY CKEY $,Terminal
$ CKEY CKEY,CKEY CKEY $,Terminal
$ CKEY,CKEY $,Terminal
$,$,Accept
