Stack,Input,Action
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY,OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS,PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: STATEMENTS -> PRINT OPAR EXPRESSION CPAR DOTCOMMA STATEMENTS
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION OPAR PRINT,PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION OPAR,OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: EXPRESSION -> TERM EXPRESSION'
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: TERM -> FACTOR TERM'
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' FACTOR,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: FACTOR -> DVORID
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' DVORID,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: DVORID -> IDENTIFIER
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' IDENTIFIER,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM',CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: TERM' -> ε
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION',CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: EXPRESSION' -> ε
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR,CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA,DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS,CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: STATEMENTS -> ε
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES LOOPS,CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: LOOPS -> ε
$ CKEY ELSE' CKEY ELSE' CKEY IFELSES,CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: IFELSES -> ε
$ CKEY ELSE' CKEY ELSE' CKEY,CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY ELSE',ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: ELSE' -> ELSE OKEY STATEMENTS LOOPS IFELSES CKEY
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS OKEY ELSE,ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS OKEY,OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS,PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: STATEMENTS -> PRINT OPAR EXPRESSION CPAR DOTCOMMA STATEMENTS
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION OPAR PRINT,PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION OPAR,OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION,IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: EXPRESSION -> TERM EXPRESSION'
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM,IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: TERM -> FACTOR TERM'
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' FACTOR,IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: FACTOR -> DVORID
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' DVORID,IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: DVORID -> IDENTIFIER
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' IDENTIFIER,IDENTIFIER CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM',CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: TERM' -> ε
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION',CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: EXPRESSION' -> ε
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR,CPAR DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS DOTCOMMA,DOTCOMMA CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS STATEMENTS,CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: STATEMENTS -> ε
$ CKEY ELSE' CKEY CKEY IFELSES LOOPS,CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: LOOPS -> ε
$ CKEY ELSE' CKEY CKEY IFELSES,CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: IFELSES -> ε
$ CKEY ELSE' CKEY CKEY,CKEY CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE' CKEY,CKEY ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY ELSE',ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: ELSE' -> ELSE OKEY STATEMENTS LOOPS IFELSES CKEY
$ CKEY CKEY IFELSES LOOPS STATEMENTS OKEY ELSE,ELSE OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY IFELSES LOOPS STATEMENTS OKEY,OKEY IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY IFELSES LOOPS STATEMENTS,IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: STATEMENTS -> ε
$ CKEY CKEY IFELSES LOOPS,IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: LOOPS -> ε
$ CKEY CKEY IFELSES,IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: IFELSES -> IF OPAR EXPRESSION CPAR OKEY STATEMENTS LOOPS IFELSES CKEY ELSE'
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION OPAR IF,IF OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION OPAR,OPAR IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION,IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: EXPRESSION -> TERM EXPRESSION'
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM,IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: TERM -> FACTOR TERM'
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM' FACTOR,IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: FACTOR -> DVORID
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM' DVORID,IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: DVORID -> IDENTIFIER
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM' IDENTIFIER,IDENTIFIER GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM',GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: TERM' -> ε
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION',GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: EXPRESSION' -> GREATEQTH TERM EXPRESSION'
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM GREATEQTH,GREATEQTH VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM,VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: TERM -> FACTOR TERM'
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM' FACTOR,VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: FACTOR -> DVORID
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM' DVORID,VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: DVORID -> VINTEGER
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM' VINTEGER,VINTEGER CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION' TERM',CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: TERM' -> ε
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR EXPRESSION',CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: EXPRESSION' -> ε
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY CPAR,CPAR OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS OKEY,OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS,PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: STATEMENTS -> PRINT OPAR EXPRESSION CPAR DOTCOMMA STATEMENTS
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION OPAR PRINT,PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION OPAR,OPAR IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: EXPRESSION -> TERM EXPRESSION'
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: TERM -> FACTOR TERM'
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' FACTOR,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: FACTOR -> DVORID
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' DVORID,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
,,Apply rule: DVORID -> IDENTIFIER
$ CKEY CKEY ELSE' CKEY IFELSES LOOPS STATEMENTS DOTCOMMA CPAR EXPRESSION' TERM' IDENTIFIER,IDENTIFIER CPAR DOTCOMMA CKEY ELSE OKEY PRINT OPAR IDENTIFIER CPAR DOTCOMMA CKEY CKEY CKEY $,
